CommitId;RefactoringType;RefactoringDetail
94faa31bcf5c4fcb20818a3a0d23ae789932d2df;Split Parameter;Split Parameter	formatField : String to [width : int, f : char] in method private getStrategy(f char, width int, definingCalendar Calendar) : Strategy in class org.apache.commons.lang3.time.FastDateParser
94faa31bcf5c4fcb20818a3a0d23ae789932d2df;Replace Variable With Attribute;Replace Variable With Attribute	collector : List<Strategy> to patterns : List<StrategyAndWidth> in method private init(definingCalendar Calendar) : void in class org.apache.commons.lang3.time.FastDateParser
94faa31bcf5c4fcb20818a3a0d23ae789932d2df;Change Variable Type;Change Variable Type	collector : List<Strategy> to patterns : List<StrategyAndWidth> in method private init(definingCalendar Calendar) : void in class org.apache.commons.lang3.time.FastDateParser
94faa31bcf5c4fcb20818a3a0d23ae789932d2df;Extract Variable;Extract Variable	sdferrorIndex : int in method private checkParsePosition(formattedDate String) : void from class org.apache.commons.lang3.time.FastDateParserSDFTest
94faa31bcf5c4fcb20818a3a0d23ae789932d2df;Extract Superclass;Extract Superclass	org.apache.commons.lang3.time.FastDateParser.PatternStrategy from classes [org.apache.commons.lang3.time.FastDateParser.CaseInsensitiveTextStrategy, org.apache.commons.lang3.time.FastDateParser.TimeZoneStrategy, org.apache.commons.lang3.time.FastDateParser.ISO8601TimeZoneStrategy]
94faa31bcf5c4fcb20818a3a0d23ae789932d2df;Move Attribute;Move Attribute	private pattern : String from class org.apache.commons.lang3.time.FastDateParser.ISO8601TimeZoneStrategy to private pattern : String from class org.apache.commons.lang3.time.FastDateParser.StrategyParser
0822b4226f31e50ec244d311e56e3446a8e5811f;Rename Method;Rename Method	public testCaseFunctions() : void renamed to public testUnCapitalize() : void in class org.apache.commons.lang3.StringUtilsTest
52b46e74dd29eb3eb65a593a872fd57694bc154c;Extract Variable;Extract Variable	c : char in method public appendTo(buffer StringBuffer, value int) : void from class org.apache.commons.lang3.time.FastDatePrinter.PaddedNumberField
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Return Type;Change Return Type	StringBuffer to B in method protected applyRules(calendar Calendar, buf B) : B in class org.apache.commons.lang3.time.FastDatePrinter
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buf : StringBuffer to buf : B in method protected applyRules(calendar Calendar, buf B) : B in class org.apache.commons.lang3.time.FastDatePrinter
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method private appendDigits(buffer Appendable, value int) : void in class org.apache.commons.lang3.time.FastDatePrinter
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, calendar Calendar) : void in class org.apache.commons.lang3.time.FastDatePrinter.CharacterLiteral
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, calendar Calendar) : void in class org.apache.commons.lang3.time.FastDatePrinter.StringLiteral
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, calendar Calendar) : void in class org.apache.commons.lang3.time.FastDatePrinter.TextField
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, calendar Calendar) : void in class org.apache.commons.lang3.time.FastDatePrinter.UnpaddedNumberField
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, value int) : void in class org.apache.commons.lang3.time.FastDatePrinter.UnpaddedNumberField
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, calendar Calendar) : void in class org.apache.commons.lang3.time.FastDatePrinter.UnpaddedMonthField
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, value int) : void in class org.apache.commons.lang3.time.FastDatePrinter.UnpaddedMonthField
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, calendar Calendar) : void in class org.apache.commons.lang3.time.FastDatePrinter.PaddedNumberField
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, calendar Calendar) : void in class org.apache.commons.lang3.time.FastDatePrinter.TwoDigitNumberField
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, value int) : void in class org.apache.commons.lang3.time.FastDatePrinter.TwoDigitNumberField
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, calendar Calendar) : void in class org.apache.commons.lang3.time.FastDatePrinter.TwoDigitYearField
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, value int) : void in class org.apache.commons.lang3.time.FastDatePrinter.TwoDigitYearField
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, calendar Calendar) : void in class org.apache.commons.lang3.time.FastDatePrinter.TwoDigitMonthField
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, value int) : void in class org.apache.commons.lang3.time.FastDatePrinter.TwoDigitMonthField
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, calendar Calendar) : void in class org.apache.commons.lang3.time.FastDatePrinter.TwelveHourField
61579335bcb3da854fc8be82b5e61dc52b5018d3;Change Parameter Type;Change Parameter Type	buffer : StringBuffer to buffer : Appendable in method public appendTo(buffer Appendable, value int) : void in class org.apache.commons.lang3.time.FastDatePrinter.TwelveHourField
